--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
crop\cropped_0.png       	µ¤¹ä                       	0.9995
crop\cropped_1.png       	Ã¶ÆÇ ºÒ°í±â                   	0.9990
crop\cropped_2.png       	9,500                    	0.9979
crop\cropped_3.png       	°¨ÀÚÃ¤Æ¢±è                    	0.9454
crop\cropped_4.png       	¹Ù»è                       	0.9912
crop\cropped_5.png       	7,000                    	0.9788
crop\cropped_6.png       	°¡¶ô                       	0.9990
crop\cropped_7.png       	¶±ººÀÌ                      	0.9993
crop\cropped_8.png       	7,500                    	0.9983
crop\cropped_9.png       	°¡¶ô                       	0.9991
crop\cropped_10.png      	Ä¡Áî                       	0.9999
crop\cropped_11.png      	¶±ººÀÌ                      	0.9996
crop\cropped_12.png      	8,900                    	0.9997
crop\cropped_13.png      	°¡¶ô                       	0.9988
crop\cropped_14.png      	·ÎÁ¦                       	0.7058
crop\cropped_15.png      	¶±ººÀÌ                      	0.9988
crop\cropped_16.png      	9,000                    	0.8051
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
crop\cropped_0.png       	µ¤¹ä                       	0.8558
crop\cropped_1.png       	Ã¶ÆÇºÒ°í±â                    	0.9978
crop\cropped_2.png       	9.500                    	0.4539
crop\cropped_3.png       	°¨ÀÚÃ¤ Æ¢±è                   	0.9906
crop\cropped_4.png       	¹Ù»è                       	0.9753
crop\cropped_5.png       	3000                     	0.7650
crop\cropped_6.png       	°¡¶ô                       	0.9759
crop\cropped_7.png       	¶±ººÀÌ                      	0.9971
crop\cropped_8.png       	33500                    	0.3848
crop\cropped_9.png       	°¡¶ô                       	0.9866
crop\cropped_10.png      	Ä¡Áî                       	0.9987
crop\cropped_11.png      	¶±ººÀÌ                      	0.9854
crop\cropped_12.png      	8.900                    	0.3778
crop\cropped_13.png      	°¡¶ô                       	0.9397
crop\cropped_14.png      	·ÎÁ¦                       	0.5091
crop\cropped_15.png      	¶±ººÀÌ                      	0.9967
crop\cropped_16.png      	9,000                    	0.1726
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
crop\cropped_0.png       	ade                      	0.9490
crop\cropped_1.png       	¾ÖÇÃ¿¡ÀÌµå                    	0.9987
crop\cropped_2.png       	º¹¼þ¾Æ¿¡ÀÌµå                   	0.9852
crop\cropped_3.png       	ÀÚ¸ù¿¡ÀÌµå                    	0.9998
crop\cropped_4.png       	ÆÐ¼ÇÇÁ·Ô¿¡ÀÌµå                  	0.9086
crop\cropped_5.png       	coffee                   	0.9994
crop\cropped_6.png       	¾Æ¸Þ¸®Ä«³ë                    	0.9999
crop\cropped_7.png       	Ä«Æä¶ó¶¼                     	0.9996
crop\cropped_8.png       	¹Ù´Ò¶ó¶ó¶¼                    	0.9993
crop\cropped_9.png       	¾Æ¸óµå¶ó¶¼                    	0.9998
crop\cropped_10.png      	ÇìÀÌÁñ³Ó¶ó¶¼                   	0.9989
crop\cropped_11.png      	Å©¸²¸ðÄ«                     	0.9999
crop\cropped_12.png      	¼ÖÆ¼Ä«¶ó¸á¶ó¶¼                  	0.9885
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
crop\cropped_0.png       	ade                      	0.4471
crop\cropped_1.png       	¾ÖÇÃ¿¡ÀÌµå                    	0.9979
crop\cropped_2.png       	º¹¼þ¾Æ¿¡ÀÌµå                   	0.9650
crop\cropped_3.png       	ÀÚ¸ù¿¡ÀÌµå                    	0.9965
crop\cropped_4.png       	ÆÐ¼ÇÇÁ·í¿¡ÀÌµå                  	0.8769
crop\cropped_5.png       	coffee                   	0.9965
crop\cropped_6.png       	¾Æ¸Þ¸®Ä«³ë                    	0.9998
crop\cropped_7.png       	Ä«Æä¶ó¶¼                     	0.9984
crop\cropped_8.png       	¹Ù´Ò¶ó¶ó¶¼                    	0.9961
crop\cropped_9.png       	¾Æ¸óµå¶ó¶¼                    	0.9967
crop\cropped_10.png      	ÇìÀÌÁñ³Ó¶ó¶¼                   	0.9938
crop\cropped_11.png      	Å©¸²¸ðÄ«                     	0.9989
crop\cropped_12.png      	¼ÖÆ¼Ä«¶ó¸á¶ó¶¼                  	0.9572
